recommendationid,language,sentiment,review,review_clean,playtime_at_review_hours,timestamp_created
223282492,english,negatif,I punched a player to death and a moderator made it so I could not pick up any weapons. Im getting real sick of these games we expect to operate in good faith utilizing social credit score type tactics and ruining our experiences because they have inappropriately abusive people working and taking out their frustrations on gamers because they swore. You know what F YOU PUBG,punch player death moder made could pick weapon im get real sick games expect operate good faith util social credit score type tactic ruin experiences inappropri abus people work take frustrat gamers swore know playerunknown battleground,36.1,2026-04-15 02:09:19
223282156,english,negatif,"this game started off looking really good with great potential, but is never really evolved or had any significant changes or updates towards future developments. Basically you dug the foundation but never built the house.",game start look realli good great potenti never realli evolv signific chang updat toward futur developments basic dug foundat never built hous,9.3,2026-04-15 02:01:18
223278332,english,negatif,"company too focused on skins and third person , trying to appeal as much as possible for the noobs losing its identity and core",compani focused skin third person tri appeal much possibl noob lose ident core,138.8,2026-04-15 00:27:45
223278094,english,negatif,Supporting any krafton game after this court loss is stupid,support krafton game court loss stupid,8.1,2026-04-15 00:21:12
223276616,english,negatif,"not beginner friendly, matchmaking is ♥♥♥♥♥♥♥ and it doesnt matter how many times you lose. If you havent won all season dont worry you will still be put against players that walk your ass. paying for the better matchmaking n ♥♥♥♥ or whatever the $10-15 add on is pretty much ♥♥♥♥♥ yourself.",beginn friendli cari lawan doesnt matter mani times lose havent season dont worri still put player walk ass pay better cari lawan whatev add pretti much,313.1,2026-04-14 23:45:59
223274785,english,positif,yeah...,yeah,273.3,2026-04-14 23:02:51
223273591,english,positif,Good game,good game,187.7,2026-04-14 22:35:45
223273331,english,negatif,"Filled with hackers, it's honestly terrible.
Game's kinda fun, hackers ruin it by being like 10 out of 100 players each game, at least.",fill hacker honestli terrible game kinda fun hacker ruin like player game least,31.6,2026-04-14 22:30:00
223272235,english,positif,me and my gang,gang,13.9,2026-04-14 22:06:16
223271942,english,positif,running simulator,run simul,105.6,2026-04-14 21:58:33
223271263,english,negatif,creator of this game werent sober while creating it.Definetly  mentally challenged person . Hope hes alright now,creator game werent sober creat definetli mentally challeng person hope he alright,146.4,2026-04-14 21:45:08
223269471,english,negatif,"As of the last update, they removed several guns from the game for no reason. 
The last in a long line of absolutely idiotic decisions.
But hey, they added an alien pewpew mode that literally not a ♥♥♥♥♥♥♥ soul asked for. 

These retarded asians have no clue what they're doing and i'm sick and tired of hoping they'll get their ♥♥♥♥ together. The only thing they update the game for is the asian community. Good job, here's another anime waifu for those degenerates to goon over. That'll be 1000 bucks, thanks. 

Just ♥♥♥♥♥♥♥ die already.",last baru remov several gun game reason last long line absolut idiotic decis hey ad alien pewpew mode literally soul asked retard asian clue sick tire hope get togeth thing baru game asi commun good job anoth anim waifu degener goon buck thank die alreadi,1126.1,2026-04-14 21:10:41
223269114,english,positif,nice game,nice game,333.9,2026-04-14 21:04:30
223268067,english,positif,fun,fun,7.5,2026-04-14 20:45:36
223267596,english,negatif,Ngl,ngl,2190.8,2026-04-14 20:37:03
223262697,english,positif,pretty good game although there are definetly some things that i personally think could be improved,pretti good game although definetli thing personally think could improv,8.2,2026-04-14 19:10:59
223257707,english,positif,yyyyeeeee boiiii,yyyyeeee boiiii,305.5,2026-04-14 17:53:15
223257188,english,positif,10/10 game,game,63.1,2026-04-14 17:44:20
223256801,english,positif,Not bad after all. :D,bad,53.7,2026-04-14 17:38:47
223256582,english,positif,good,good,246.9,2026-04-14 17:34:49
223255911,english,positif,worst game of all time,worst game time,264.7,2026-04-14 17:23:46
223255009,english,positif,"of course, accused here as well..",cours accused well,0.8,2026-04-14 17:09:01
223254103,english,positif,it really has potential if devs tried a bit more hard but unfortunately it has a lot odf bugs,realli potenti dev tri bit hard unfortun lot odf bug,12.6,2026-04-14 16:54:40
223253890,english,positif,goof,goof,682.7,2026-04-14 16:51:01
223251407,english,positif,Time well wasted!,time well wast,30.1,2026-04-14 16:12:29
223250696,english,positif,i like the maps  but its hard to find a good gun,like map hard find good gun,20.9,2026-04-14 16:01:27
223248046,english,positif,i love the game,love game,39.7,2026-04-14 15:20:52
223247696,english,positif,gg',good game,7.2,2026-04-14 15:14:51
223247464,english,positif,"An excellent game to spend time with friends under the influence of heavy narcotic substances! I recommend it to everyone, if you don't have a dad",excel game spend time friend influenc heavi narcot substanc recommend everyon dad,50.9,2026-04-14 15:11:09
223246127,english,negatif,Nice skins but gameplay bad,nice skin gameplay bad,1052.9,2026-04-14 14:47:38
223244474,english,positif,"I don`t know what happen to my desktop computer PUBG keep crushing within 2 weeks. I already check and install all update, but the problem still there.",know happen desktop comput playerunknown battleground keep crush within week alreadi check instal baru problem still,4413.2,2026-04-14 14:19:37
223241916,english,positif,"PUBG: Battlegrounds — 9/10
Before Fortnite. Before Warzone. Before any of them. There was PUBG, and it changed everything.
Say what you want about the state of battle royale today — every single one of those games owes its existence to what PUBG built from the ground up. The 100 players dropping on an island, the shrinking circle, the looting, the tension of the final ring — PUBG invented the template that an entire genre just copy-pasted and dressed up differently. This is where it all started.
And honestly? It still plays better than most of its imitators. There's a weight and grittiness to PUBG that nobody has quite managed to replicate. The gunplay feels real and punishing. Bullets have travel time and drop. You can't just spray and pray — you have to think about range, positioning, cover, vehicle sounds in the distance, footsteps on the floor above you. Every engagement feels genuinely tense in a way that flashier battle royales rarely achieve.
Erangel is still one of the best maps ever designed for the genre. Open fields, dense towns, chokepoints, rivers — it forces every kind of combat and never feels unfair. The other maps each bring something different to the table and after all these years there's still a ridiculous amount of variety.
Yes it had a rough early life. Yes the optimization has been a journey. But as a pure, unfiltered battle royale experience built on real tactical foundations, nothing touches the original.
The genre grew up and moved on. But the peak? It was always here.
9/10 — The original. The blueprint. Still the best.",playerunknown battleground battleground fortnit warzon playerunknown battleground chang everyth say want state battl royal today everi singl one games owe exist playerunknown battleground built ground player drop island shrink lingkar aman ambil item tension final ring playerunknown battleground invent templat entir genr copi past dressed differently start honestli still play better imit weight gritti playerunknown battleground nobodi quit manag replic gunplay feel real punish bullet travel time drop tembak otomati pray think rang posit cover vehicl sound distance footstep floor everi engagement feel genuin tens way flashier battl royal rare achiev erangel still one best map ever design genr open field dens town chokepoints river forc everi kind combat never feel unfair map bring something different tabl year still ridiculous amount varieti ye rough earli life ye optim journey pure unfiltered battl royal experience built real tactic foundat noth touch origin genr grew move peak alway origin blueprint still best,253.0,2026-04-14 13:35:17
223241902,english,positif,Gudshiii,gudshiii,46.0,2026-04-14 13:34:58
223240656,english,negatif,negative just for the paid ranked mode.,neg paid peringkat mode,23.0,2026-04-14 13:11:13
223240255,english,positif,"Good game, my best friend Petar plays it all the time but when I invite him he always has something to do and doesn't play with me.",good game best friend tar play time invit alway something play,67.1,2026-04-14 13:03:48
223238137,english,negatif,krafton is just a bad company,krafton bad compani,0.8,2026-04-14 12:21:20
223231999,english,positif,"Still playing 
Still rocking 
Nice shooter 
Not pay2win at all 
Classic",still play still rock nice shooter pay win classic,223.8,2026-04-14 09:48:06
223230765,english,positif,"Imagine spending 20 minutes playing ""Interior Designer"" in a derelict Russian shed, meticulously collecting a Level 3 backpack and a suppressed M416, only to be erased from existence by a guy laying in a bush with a crossbow.

Why You'll Hate It:
The Physics: Vehicles behave like they were programmed by someone who has only ever heard physics described over a bad phone line. Hit a pebble? Your car is now a satellite.

The Combat: You don't ""fight."" You loiter in a bathroom for ten minutes until the Blue Zone—the game's personification of tax season—forces you out to get shot by a 12-year-old with the reflexes of a cobra on meth.

The Optimization: It runs like a brick through a blender. Your PC will scream in agony just to render a texture that looks like wet cardboard.

The Verdict:
It’s a toxic cycle of looting, running, and dying to things you can't see. It’s miserable, unfair, and technically broken.

I'll see you in the lobby in five minutes.",imagin spending minut play interior design derelict russian shed meticulously collect level backpack suppressed erased exist guy lay bush crossbow hate physic vehicl behav like programmed someone ever heard physic describ bad phone line hit pebble car satellit combat fight loiter bathroom ten minut blue zona aman game personification tax season forc get shot year old reflex cobra meth optim run like brick blender pc scream agoni render textur look like wet cardboard verdict toxic cycl ambil item run die thing see miserable unfair technic broken see lobbi five minut,467.2,2026-04-14 09:15:11
223230516,english,negatif,How is this game still up,game still,21.4,2026-04-14 09:07:30
223229803,english,positif,Noice,noic,1235.6,2026-04-14 08:47:48
223227113,english,positif,Good Game,good game,15.5,2026-04-14 07:21:35
223225333,english,positif,very fun game you can try the game but the gun recoil will be very high than other shooting games,fun game tri game gun recoil high shoot games,4.3,2026-04-14 06:25:16
223223429,english,positif,lovely game,love game,350.6,2026-04-14 05:19:35
223223091,english,positif,mid,mid,10.2,2026-04-14 05:09:00
223220217,english,positif,Not for beginners lol,beginn lol,144.6,2026-04-14 03:38:28
223220185,english,positif,"land in with homies, make it to top 5, die to guy in grass. much fun",land homi make top die guy grass much fun,494.8,2026-04-14 03:37:26
223215781,english,negatif,"I have over 1600 hours in PUBG and all I can say is, this game was once great but now I wouldnt suggest it to my worst enemies. If you want to spend $2000+ to get a collab skin because their posted loot crate odds are incorrect and you've sunk too much money to give up... this is the game for you. Selling multiple battle passes at the same time, splitting each battle passes monetization into the base pass & add-ons for that pass that dont include the base pass, and entirely unhelpful customer support I'm convinced must be AI. I couldnt care less about the gunplay or mechanics of the game at this point after being robbed blind by this dumpster fire of a company.

Krafton is not a company you should support and I will not be going forward. I loved this game once but its clear Krafton doesnt care about their player base anymore so why should anyone play their game.",hour playerunknown battleground say game great wouldnt suggest worst enemi want spend get collab skin post item rampas crate odd incorrect sunk much money give game selling multipl battl passes time split battl passes monet base pass add on pass dont includ base pass entir unhelp customer support convinc must ai couldnt care less gunplay mechanics game point rob blind dumpster fire compani krafton compani support go forward love game clear krafton doesnt care player base anymor anyon play game,1634.5,2026-04-14 01:37:42
223212881,english,positif,great game,great game,1058.6,2026-04-14 00:20:48
223210423,english,positif,great,great,23.7,2026-04-13 23:18:46
223210388,english,negatif,Game is fun and good. I like playing it with friends.. But holy sht are there many hackers.. Close to quitting due to the amount of cheaters there are in the game.,game fun good like play friend holi sht mani hacker close quit due amount cheaters game,209.9,2026-04-13 23:18:03
223209765,english,positif,still the best BR game for me,still best battl royal game,31.3,2026-04-13 23:03:10
223207660,english,positif,i love this game.,love game,26.5,2026-04-13 22:16:46
223206152,english,positif,"very fun, feels like siege and fortnite had a kid. 我必須學習中文才能與人交流。這款遊戲能開拓你的思維。",fun feel like sieg fortnit kid,17.2,2026-04-13 21:44:56
223202377,english,positif,ITS GOOD,good,72.8,2026-04-13 20:32:07
223201795,english,positif,"Goods graphics, but sadly cheaters ruin it",good graphic sadli cheaters ruin,1012.1,2026-04-13 20:21:08
223199534,english,positif,nice game until you find the indian sqad camping in a house,nice game find indian sqad sembunyi hous,41.1,2026-04-13 19:41:07
223195658,english,negatif,"WORST GAME I HAVE EVER PLAYED.
PLAYED FOR 2 HOURS AND DIDNT SHOOT ONCE.",worst game ever play play hour didnt shoot,13.9,2026-04-13 18:34:44
223194795,english,negatif,"It was fun before but these days the game is full of cheaters. The devs attempted to implement lots of ""Anti Cheats"" but they only get banned for 24hrs.",fun day game full cheaters dev attempt implement lot anti cheat get ban,1043.9,2026-04-13 18:19:38
223194377,english,positif,Good game but very poorly optimized. Considering release date and the graphics and the physics of the game. It should run much much better.,good game poorli optim consid releas date graphic physic game run much much better,208.0,2026-04-13 18:12:22
223194272,english,negatif,"I encountered a toxic teammate who used profanity, insulted  throughout the entire game, and even tried to kill me and another teammate. I reported him using the replay, which clearly shows the evidence, but no action was taken. I no longer want to return to the game because I don’t want to run into players like this again.",encountered toxic teammat used profan insult throughout entir game even tri kill anoth teammat report use replay clearli show evid action taken longer want return game want run player like,101.4,2026-04-13 18:10:34
223194224,english,positif,Very gud,gud,251.2,2026-04-13 18:09:40
223193170,english,positif,ambatakam,ambatakam,135.5,2026-04-13 17:52:43
223192381,english,positif,"300 hours in:
If you are a beginner- its gonna be very hard because the playerbase is low and the current players are playing from 5 years so they are naturally way better than you, not forgiving. Fun Game with friends but my god the optimization of this game is just horrendous! i have a 4070 and ryzen 7 still get barely above 100..",hour beginn gon na hard playerbas low current player play year natur way better forgiv fun game friend god optim game horrend ryzen still get bare,303.8,2026-04-13 17:38:51
223191163,english,positif,not bad !,bad,33.8,2026-04-13 17:17:20
223189457,english,positif,Shroud played it so yeah,shroud play yeah,0.5,2026-04-13 16:47:41
223187296,english,positif,"really fun game, 1lvl vs 500 lvl )",realli fun game lvl vs lvl,5.1,2026-04-13 16:10:24
223186739,english,negatif,DUMBEST GAME I'VE PLAYTED,dumbest game playt,12.2,2026-04-13 16:01:50
223186724,english,positif,"Good game, but watch out for teammates. Mine told me to hurry up and that we were going to die from the zone. Once I got on the bike, he proceeded to flip it and kill us both.",good game watch teammat mine told hurri go die zona aman got bike proceed flip kill us,42.3,2026-04-13 16:01:29
223185801,english,positif,The most uncertain Yes ive ever Yessed,uncertain ye ive ever yessed,3.9,2026-04-13 15:46:18
223184743,english,positif,veri gud,veri gud,7.4,2026-04-13 15:29:13
223183088,english,negatif,"The SBMM in this game is wild .  In match You will face 300-500 lvl player or bot/ai, like I'm start questioning ""where s the new/low player like me ?"" .
 I haven't even mention the cheater yet.
Not gonna lie this game is good even in this 2026... only the matchmaking system who s make me choose to not recommend it to new player, if you pretty good/pro player/old player ..well you can keep up the skill gap, if not...you just get cooked every single  match. Also i just found out they have self revive on this game... like...""thats why those sweats never touch sniper anymore lol"".. and where s the vikendi,sanhok and those volcano map?... is it only available on rank or what?",skill based matchmak game wild match face lvl player main bot ai like start question new low player like even mention cheater yet gon na lie game good even cari lawan system make choos recommend new player pretti good pro player old player well keep skill gap get cooked everi singl match also found self hidup game like that sweat never touch tembak jitu anymor lol vikendi sanhok volcano map avail rank,10.0,2026-04-13 15:01:37
223182393,english,negatif,Razrabs please combine the EU servers with RU,razrab pleas combin eu servers ru,452.4,2026-04-13 14:50:15
223182327,english,positif,good,good,97.9,2026-04-13 14:49:10
223180749,english,positif,Good action game,good action game,964.1,2026-04-13 14:23:17
223180518,english,positif,"too much cheaters, but legend",much cheaters legend,3.4,2026-04-13 14:19:11
223180142,english,negatif,"Haven't played since launch, posting this exclusively to laugh at the KRAFTON CEO getting owned in the Subnautica 2 lawsuit.

🫵🤣",play sinc launch post exclus laugh krafton ceo get own subnautica lawsuit,46.9,2026-04-13 14:12:48
223180119,english,negatif,"Devs are retarded, playerbase is retarded. Used to be a fun game but now it's hide-in-building-for-30-minutes simulator and 80% of lobbies are bots or cheaters. Ranked system is broken, loot is so boosted you don't have to hit named cities anymore for top tier loot and generally the game just isn't good anymore. Dated bugs and broken features that I remember from 1.0 still exist. Reinvest money or speed up PUBG2 development, add a $20 price tag and make your kernel level anti-cheat actually do something.",dev retard playerbas retard used fun game hide building minut simul lobbi bot cheaters peringkat system broken item rampas boost hit named citi anymor top tier item rampas gener game good anymor date bug broken featur remember still exist reinvest money speed playerunknown battleground development add price tag make kernel level anti curang actual something,1161.6,2026-04-13 14:12:18
223179087,english,positif,fun game with friends,fun game friend,132.3,2026-04-13 13:53:32
223178985,english,positif,its good,good,287.9,2026-04-13 13:51:42
223178797,english,positif,gg,good game,4.6,2026-04-13 13:48:22
223173046,english,positif,goood,goood,809.1,2026-04-13 11:52:23
223172320,english,positif,fps ke maki chut sala chutad game 5070 pe bhi loda leta hai,frame second maki chut sala chutad game pe bhi loda leta,21.1,2026-04-13 11:35:33
223171181,english,positif,good for IQ,good iq,2676.2,2026-04-13 11:07:53
223170994,english,positif,good game just make the game free on rank game because we want to be more on competitive but we do not have enough money to play on rank,good game make game free rank game want competitive enough money play rank,4.5,2026-04-13 11:02:25
223170238,english,positif,nice,nice,77.6,2026-04-13 10:41:31
223169662,english,negatif,"I played this game for 1500 hours. Completely waste of time. Network code is bad... That was a great time, GG:)",play game hour complet wast time network code bad great time good game,1428.2,2026-04-13 10:24:56
223168226,english,negatif,"Playing ranked TPP is unfairly banned; if it can't operate properly, then it should be removed entirely.",play peringkat tpp unfairli ban operate properly remov entir,4451.5,2026-04-13 09:40:04
223166526,english,positif,good,good,1130.7,2026-04-13 08:47:01
223164744,english,negatif,Jogging sim,jog sim,0.5,2026-04-13 07:48:40
223163611,english,positif,THE FIRST TWO YEARS OF PLAYING WERE JUST GREAT. LIVE CLASSICS. THEN CAME THE SHEER HORROR AND SHAME. I GIVE A POSITIVE REVIEW ONLY BECAUSE OF NOSTALGIA AND THE FACT THAT THIS GAME IS ONE OF THE FATHERS OF THE GENRE  B.R.,first two year play great live classic came sheer horror shame give posit review nostalgia fact game one father genr,142.5,2026-04-13 07:12:09
223162805,english,positif,"You always die, that's the fun of it.",alway die fun,137.3,2026-04-13 06:45:33
223162443,english,positif,ts made me ♥♥♥♥ my pants,ts made pant,10.2,2026-04-13 06:33:18
223162442,english,positif,Good,good,24.1,2026-04-13 06:33:16
223159604,english,negatif,i like the game but i goonnnnnnnnnnnnnnnnnn to ts,like game goonnnnnnnnnnnnnnnnnn ts,4.4,2026-04-13 04:55:24
223158452,english,positif,love it,love,11.8,2026-04-13 04:19:29
223153626,english,negatif,"Want to play a game that is full of cheaters, and the devs actually pay you to do so!? Then THIS IS THE GAME FOR YOU! Ask Obiwancoyote, I got him banned back in the day, but the devs reinstated him and are now paying him to CHEAT! If you want proof I have all the emails to back it up! Maybe one day they will wake up once this old dinosaur of a game dies.",want play game full cheaters dev actual pay game ask obiwancoyot got ban back day dev reinstat pay curang want proof email back mayb one day wake old dinosaur game dies,2098.4,2026-04-13 02:07:58
223150059,english,positif,"i hit a guy in the face with a panzerfaust

fun",hit guy face panzerfaust fun,1.1,2026-04-13 00:42:02
223149340,english,positif,FUN,fun,12.7,2026-04-13 00:23:49
223145608,english,positif,easier than Fortnite,easier fortnit,150.3,2026-04-12 23:03:00
223142629,english,positif,THIS GAME IS GUD,game gud,51.6,2026-04-12 22:03:43
223140297,english,positif,OG Goat. Play it,og goat play,121.5,2026-04-12 21:23:12
223140089,english,positif,GOOD GAME,good game,4.9,2026-04-12 21:20:02
223139509,english,negatif,"Played two games of Squads, lost the first.. Won the second game and get hit with a ban for no apparent reason or explanation.",play two games squad lost first second game get hit ban appar reason explan,3.3,2026-04-12 21:10:37
223138365,english,positif,"So much fun!!!
Go get it NOW",much fun go get,3.1,2026-04-12 20:52:16
223138082,english,negatif,"Rank-based matches are a paid service, meaning skill-based matchmaking is not built into the default game. Rather, you need to shill out cash to play an actually fair game. The game is not friendly for new or casual players, as they're matched against jobless ingrates who do nothing but play PUBG all day.",rank based match paid service meaning skill based cari lawan built default game rather need shill cash play actual fair game game friendli new casual player match jobless ingrat noth play playerunknown battleground day,7.5,2026-04-12 20:47:50
223136462,english,positif,nike,nike,44.8,2026-04-12 20:23:34
223135293,english,positif,good game just love it,good game love,4.4,2026-04-12 20:05:28
223134376,english,positif,A very interesting game. it s great to play in a team and help each other together to win.,interesting game great play team help togeth win,251.2,2026-04-12 19:51:48
223134180,english,positif,Good,good,12.5,2026-04-12 19:48:45
223133134,english,positif,THE BEST,best,2510.6,2026-04-12 19:34:14
223130994,english,positif,pizdec polnij,pizdec polnij,31.4,2026-04-12 19:04:44
223130839,english,positif,best,best,1028.7,2026-04-12 19:02:33
223130142,english,positif,olk,olk,505.9,2026-04-12 18:53:03
223130063,english,positif,it is ok,ok,138.9,2026-04-12 18:51:50
223129771,english,positif,JKL,jkl,167.7,2026-04-12 18:47:29
223125030,english,positif,meh,meh,187.4,2026-04-12 17:42:34
223124848,english,positif,ye,ye,4.3,2026-04-12 17:40:23
223124658,english,positif,good,good,18.3,2026-04-12 17:37:52
223124489,english,negatif,game has so many hackers. i've had the game for years and i have one like 3 games total. i get one shot out of no where. made me take pubg black out off my wish list,game mani hacker game year one like games total get one shot made take playerunknown battleground black wish list,51.4,2026-04-12 17:35:42
223122953,english,negatif,"Game runs really well and I feel like I don't encounter a ton of cheaters like I used to years ago. However, the bot percentages in games now are not reasonable. Averaging 70-80% bots in every game, and as high as 87%.",game run realli well feel like encount ton cheaters like used year ago howev main bot percentages games reason averag bot everi game high,141.3,2026-04-12 17:14:34
223121115,english,positif,play it,play,176.7,2026-04-12 16:50:11
223118552,english,negatif,"I always have a good run ruined by someone with a vehicle! Just don't make them kill you instantly, too many people who aren't good at the game use vehicles to win it's stupid and unbalanced",alway good run ruin someone vehicl make kill instantli mani people good game use vehicl win stupid unbalanc,2.9,2026-04-12 16:15:27
223117951,english,negatif,gim bodo gim horror,gim bodo gim horror,51.9,2026-04-12 16:07:49
223113976,english,negatif,cs yi silmek isterim,cs yi silmek isterim,54.0,2026-04-12 15:16:19
